title,profile,category,wrong_way,phrase_1,phrase_1_action,phrase_2,phrase_2_action,phrase_3,phrase_3_action,neurological_tip
Bedtime Resistance - Won't Get in PJs,DISTRACTED,Bedtime,"Stop playing and put your pajamas on right now!","I see your brain is still in play mode. Let's help it switch to sleep mode.",Hold up two pairs of pajamas for visual choice,"Do you want the dinosaur PJs or the superhero PJs? You pick.",Point to each option and wait for their decision,"Great choice! Let's put them on and then we'll do one calm activity.",Guide them step-by-step through getting dressed,"DISTRACTED children need external cues to shift tasks. Offering choice activates their prefrontal cortex for decision-making while the visual options and step-by-step guidance provide the external structure their developing executive function needs."
Bedtime - Overtired Hyperactivity,DISTRACTED,Bedtime,"Calm down and go to bed! You're acting crazy!","Your body missed its sleepy window and now it feels buzzy. Let's help your brain calm down.",Dim the lights and speak in a quieter voice,"We're going to do some heavy work to help your muscles relax.",Guide them to push against your hands or do wall push-ups for 2 minutes,"Now your body is ready for sleep. Let's get into bed.",Lead them to bed with a calm presence,"When DISTRACTED children miss their sleep window, cortisol surges create hyperactivity. Heavy proprioceptive work (pushing, pulling) increases dopamine and helps their sympathetic nervous system down-regulate so melatonin can take effect."
Bedtime - Screen Time Too Close,DISTRACTED,Bedtime,"Turn off that screen! It's bedtime!","I know the screen is exciting for your brain. The blue light is telling your brain it's daytime.",Begin turning off screens together,"Let's help your brain know it's actually nighttime now. We're going to do something different.",Hand them a book or quiet toy,"In a few minutes your brain will start making sleepy chemicals. Let's read this together.",Sit together with the calm activity,"Blue light suppresses melatonin production by 58-81% in children. DISTRACTED brains are especially vulnerable to screen-based dopamine loops. Transitioning to low-stimulation activities allows their circadian rhythm to reset and melatonin production to resume."
Bedtime - Wants One More Story,DISTRACTED,Bedtime,"No more stories! I already read three!","Your brain loves stories and wants to keep going. Let's look at how many we planned.",Point to visual bedtime chart showing story limit,"We agreed on two stories tonight. Your brain might want more, but your body needs sleep.",Place hand on their shoulder for grounding,"Tomorrow night we get to pick two new stories. Which ones should we read?",Help them think ahead to create anticipation,"DISTRACTED children struggle with stopping preferred activities due to poor impulse control and novelty-seeking. Referring to a pre-agreed visual plan bypasses in-the-moment resistance, while previewing tomorrow's stories gives their dopamine-seeking brain something to look forward to."
Bedtime - Won't Stay in Bed,DISTRACTED,Bedtime,"Get back in bed right now! Stop getting up!","I notice your body keeps getting up. Your brain is having trouble staying still.",Walk them back calmly without excessive talking,"Let's give your body something to do while it falls asleep. Try squeezing and relaxing your muscles.",Demonstrate progressive muscle relaxation: tense for 5 seconds, release,"Each time your brain thinks of something, just notice it and let it float away like a cloud.",Sit nearby briefly to provide calm presence,"The DISTRACTED brain has reduced activity in neural networks responsible for sustained attention. Their Default Mode Network stays active instead of quieting. Physical techniques like progressive muscle relaxation give their body something to focus on while teaching self-regulation."
Bedtime - Fears/Anxiety About Dark,DISTRACTED,Bedtime,"There's nothing to be scared of! Just go to sleep!","Your brain is very alert right now and noticing everything. That's how brains keep us safe.",Sit on the edge of the bed at eye level,"Let's teach your brain that this room is a safe place. What do you see that's familiar?",Have them name 5 things they can see in the room,"Your brain is learning that everything here is safe. I'm right here with you.",Provide physical comfort (hand on back, sitting nearby),"DISTRACTED children have hyperactive attention systems that notice all stimuli, making darkness feel threatening. Grounding them in the present with sensory observation (5 things you see) engages their prefrontal cortex and reduces amygdala activation, shifting from threat-detection to safety-recognition mode."
Bedtime - Can't Fall Asleep,DISTRACTED,Bedtime,"Just close your eyes and fall asleep!","Your brain is still making wake-up chemicals instead of sleep chemicals. Let's help it switch.",Guide them to a comfortable position,"We're going to breathe in for 4, hold for 4, and out for 4. This tells your brain it's safe to rest.",Breathe together, placing their hand on their belly to feel it rise and fall,"Each breath is helping your brain make melatonin, the sleepy chemical. Keep breathing slowly.",Continue breathing together for 2-3 minutes,"DISTRACTED brains have difficulty down-regulating arousal systems. Box breathing activates the parasympathetic nervous system through vagal stimulation, reducing cortisol and norepinephrine while supporting melatonin production. The physical sensation provides their attention system something to focus on."
Bedtime - Transition from Active Play,DISTRACTED,Bedtime,"No more playing! It's bed time now!","Your body is still in play mode with lots of energy. Let's help it shift to calm mode.",Set a visible timer for 10 minutes,"You have 10 more minutes of play time. When the timer goes off, we'll start our wind-down routine.",Check in at 5 minutes: "5 minutes left. Start thinking about how you'll finish up.","Time's up. Let's do our walk-to-bed like astronauts in slow motion.",Make the transition playful with slow-motion walking,"DISTRACTED children need extended transition times due to poor task-switching abilities in their developing prefrontal cortex. Visual timers provide external structure, while making the transition itself playful reduces resistance by maintaining engagement rather than abruptly stopping preferred activity."
Bedtime - Needs Movement to Settle,DISTRACTED,Bedtime,"Stop wiggling and lie still!","I see your body needs to move before it can be still. That's how your brain works.",Lead them to do 10 jumping jacks or running in place,"Now let's do some stretches to help your muscles relax.",Guide through 3-4 gentle stretches (reach up, touch toes, twist side to side),"Your body did the movement it needed. Now it's ready to rest.",Help them get into bed while their body is calmer,"DISTRACTED brains benefit from acute physical activity before sleep—it increases dopamine and norepinephrine in the prefrontal cortex, improves emotion regulation, and then allows arousal to decrease. Fidgeting and movement are neurological needs, not defiance."
Bedtime - Forgot Part of Routine,DISTRACTED,Bedtime,"We already did the routine! Stop stalling!","Your brain is checking to make sure we did all the steps. Let's look at our chart together.",Walk to the visual bedtime routine chart,"Let's check off what we did: bath, pajamas, teeth, story. What are we missing?",Help them identify if anything is truly missing or if anxiety is talking,"Everything is done. Your brain can relax now. You're safe and ready for sleep.",Provide reassurance while guiding back to bed,"DISTRACTED children have poor working memory, so they genuinely may not remember completing steps. Visual checklists provide external memory support. Also, the uncertainty triggers their threat-detection system. Reviewing the chart provides concrete reassurance that everything is complete."
Bedtime - Sibling Keeping Them Awake,DISTRACTED,Bedtime,"Both of you be quiet and go to sleep!","I hear that the sounds from your sister's bed are hard for your brain to ignore. Let's give your ears something else to focus on.",Offer white noise machine or quiet music,"This sound will help your brain stop paying attention to every little noise.",Turn on the consistent background sound at low volume,"Now your brain has one steady sound instead of surprising sounds. That helps it relax.",Sit briefly to ensure they're settling,"DISTRACTED brains have poor sensory gating—they notice all stimuli equally rather than filtering background noise. White noise or steady music provides consistent auditory input that's easier to habituate to, reducing the orienting response to novel sounds that keeps them alert."
Bedtime - Hunger Before Sleep,DISTRACTED,Bedtime,"You should have eaten at dinner! No food now!","Your body is sending hunger signals to your brain. That makes it hard to sleep.",Take them to the kitchen calmly,"Let's give your body a small snack so your brain can focus on sleep instead of hunger.",Offer protein/fat snack (cheese, nuts, milk) not sugar,"Now your body has what it needs. Bed time.",Return to bedroom without extended conversation,"DISTRACTED children may have poor interoceptive awareness and not recognize hunger until it's urgent. Also, low blood sugar reduces prefrontal cortex function. A small protein snack stabilizes blood sugar without spiking it, removing a physiological barrier to sleep."
Bedtime - Worried About Tomorrow,DISTRACTED,Bedtime,"Stop worrying! Tomorrow will be fine!","Your brain is thinking about tomorrow and that's making it hard to rest. Let's get those thoughts out.",Get a piece of paper and pencil,"Let's write down or draw what you're thinking about. Once it's on paper, your brain can stop holding onto it.",Help them externalize their worries,"Now we'll put this in your special drawer. Your worries are safe here and tomorrow you can look if you want.",Place the paper away together with a ritual,"DISTRACTED children have poor working memory and executive function, so worries loop repetitively because they can't mentally organize or resolve them. Externalizing thoughts onto paper literally removes cognitive load, allowing their overactive Default Mode Network to quiet."
Bedtime - Room Temperature Issues,DISTRACTED,Bedtime,"Just deal with it and go to sleep!","Your body is telling you the temperature doesn't feel right. Temperature affects sleep chemicals.",Check the thermostat or add/remove blankets,"Bodies sleep best when they're slightly cool. Let's fix this so your brain can make sleep chemicals.",Adjust temperature or bedding to their comfort,"Now your body temperature can drop like it needs to for sleep. That helps melatonin work.",Ensure they're comfortable before leaving,"Melatonin production is tied to core body temperature dropping. DISTRACTED children with sensory sensitivities are especially affected by temperature discomfort—it keeps their arousal system activated. Ideal sleep temperature is 65-70°F. Addressing this removes a physiological sleep barrier."
Bedtime - Won't Brush Teeth First,DISTRACTED,Bedtime,"Go brush your teeth or no story time!","Your brain wants to skip to the fun part. Let's gamify tooth brushing so it's interesting too.",Set a timer for 2 minutes with fun sound,"Can you brush every tooth before the timer goes off? I bet you can!",Stand with them and make it a challenge/game,"You did it! Now your brain gets the story reward it was waiting for.",Follow through with the promised story time,"DISTRACTED brains are driven by immediate rewards and find boring tasks almost painful due to low dopamine. Gamification releases dopamine through challenge and achievement, making the task neurologically tolerable. Immediate reward (story) reinforces the behavior chain."
Screens - Tantrum When Time Ends,DISTRACTED,Screens,"I said screen time is over! Stop crying!","I know the screen is super interesting to your brain. It's hard to stop when your brain wants to keep going.",Sit at their level and acknowledge their frustration,"Your brain got used to the fast excitement from the screen. Let's help it calm down.",Take their hand and do 10 deep breaths together,"The upset feeling will pass. In a few minutes your brain will adjust. Let's do something with your hands.",Offer a sensory activity or fidget toy,"Screens flood DISTRACTED brains with dopamine. Abruptly stopping feels like reward removal, triggering a stress response. The tantrum is neurological withdrawal, not manipulation. Deep breathing activates the parasympathetic nervous system, while offering alternative stimulation helps their brain transition."
Screens - Can't Transition Off,DISTRACTED,Screens,"Turn it off now! We need to go!","Your brain is very focused on the screen right now. Let's use a timer so your brain can prepare to stop.",Set a visible countdown timer for 5 minutes,"When you see the timer getting close to zero, your brain can start getting ready to finish.",Give a 2-minute warning: "Almost time. Start thinking about stopping.","Time's up. Let's turn it off together and I'll help your brain switch activities.",Turn off the device with them and immediately engage them in the next activity,"DISTRACTED children have poor task-switching due to prefrontal cortex immaturity. Timers provide external structure for their weak internal time perception. Gradual warnings allow their brain to anticipate the change, reducing amygdala activation when the transition occurs."
Screens - Negotiating for More Time,DISTRACTED,Screens,"I already said no! Stop asking!","Your brain really wants more screen time because it feels good. Let's look at our agreement.",Point to the pre-set screen time rules visible on a chart,"We agreed on 30 minutes today. Your brain's job is to want more, but we help it make healthy choices.",Acknowledge their desire without changing the boundary,"Tomorrow you'll get another turn. What would you like to do right now instead?",Redirect to the next engaging activity,"DISTRACTED brains have poor impulse control and delayed gratification abilities due to dopamine regulation differences. Negotiating in the moment enables executive dysfunction. Pre-agreed visual rules create external structure, while redirecting to a new activity gives their novelty-seeking brain something to engage with."
Screens - Sneaking Device Access,DISTRACTED,Screens,"You're in trouble for sneaking the tablet!","I noticed you took the tablet when it wasn't screen time. Your brain wanted that excitement and had trouble stopping itself.",State the observation calmly without anger or shame,"Your brain's job is to want fun things. My job is to help you make good choices when your brain has trouble stopping.",Physical action: Take device and place in a locked location,"Let's figure out how to help your brain remember the rules. What could we do differently?",Problem-solve together about environmental modifications,"Sneaking behavior in DISTRACTED children reflects poor impulse control and reward-seeking, not moral failure. Their prefrontal cortex cannot consistently override urges. Environmental modifications (physical device storage, parental controls) provide external executive function their brain lacks."
Screens - Aggressive When Interrupted,DISTRACTED,Screens,"Don't you dare yell at me!","I see you're very upset right now. The screen was giving your brain lots of excitement and stopping feels bad.",Take a step back and speak calmly,"Your body needs a few minutes to calm down from that big reaction. Let's breathe together.",Model slow breathing and wait for them to join,"When your body is calmer, we can talk about what happened. I'm going to wait right here.",Sit nearby in calm presence until arousal decreases,"Interrupting screen time in DISTRACTED children triggers a stress response—cortisol spikes when expected rewards are removed. Their amygdala hijacks prefrontal control. Co-regulating through calm presence and breathing helps their nervous system down-regulate before any teaching or consequences can be processed."
Screens - Morning Device Demands,DISTRACTED,Screens,"No screens until after breakfast!","I hear your brain wants the tablet right away. Mornings are for getting our bodies ready first.",Redirect physically to the next morning task,"First we do breakfast and getting dressed, then we can talk about screen time.",Use first-then language with visual support if available,"Look how fast you got ready! That was great self-control. You can have 10 minutes before we leave.",Provide the reward if they complete morning tasks,"DISTRACTED brains seek immediate dopamine hits. Screens first thing hijack their motivation for boring but necessary tasks. Using first-then structures and immediate rewards (10 minutes after completing tasks) provides motivation while building the behavior chain of morning routines before screens."
Screens - Gaming Session Won't End,DISTRACTED,Screens,"The game is not more important than our plans!","I see you're at an exciting part of the game. Your brain is very focused right now.",Kneel next to them to be in their line of vision,"Let's find a good stopping point. Can you pause or save in the next 2 minutes?",Give them agency in finding a stopping point within a boundary,"Thanks for finding a place to save. That shows good thinking. Now let's go do [next activity].",Acknowledge their cooperation immediately,"Games are designed for endless engagement, especially challenging for DISTRACTED brains with poor inhibitory control. Offering limited agency (you choose when to pause within 2 minutes) engages their prefrontal cortex and reduces reactance, while the time boundary provides necessary external structure."
Screens - Comparison to Real Activities,DISTRACTED,Screens,"Why can't you ever want to play outside?","Your brain got really used to the fast excitement from screens. Regular activities feel slow to your brain now.",Sit with them and explain the concept simply,"We're going to do a screen break for a few days so your brain can enjoy regular fun again.",Present it as a science experiment, not punishment,"Let's go outside and see what we can find. I'll do it with you.",Actively engage with them in the alternative activity,"DISTRACTED brains develop tolerance to screen-based dopamine, making real-world activities (lower dopamine) feel unrewarding. A \"dopamine reset\" period allows their reward system to recalibrate. Parental co-participation provides social reward while their brain adjusts."
Screens - Bedtime Screen Exposure,DISTRACTED,Screens,"Turn off the iPad! It's bedtime!","I know that game is fun, but screens tell your brain it's daytime, not bedtime.",Take the device and show them the blue light,"This blue light stops your brain from making sleepy chemicals. Let's turn it off so your brain can make melatonin.",Place the device in its charging location away from bedroom,"Now your brain can start making the chemicals that help you sleep. Let's do our bedtime routine.",Begin the established wind-down routine,"Blue light suppresses melatonin by 58-81% in children. DISTRACTED children are especially vulnerable because their circadian rhythm regulation is already challenged. Screens within 1-2 hours of bed shift their circadian phase later, creating bedtime resistance. Physical device removal is necessary."
Screens - YouTube Auto-Play Trap,DISTRACTED,Screens,"You've watched enough videos!","I notice you've been watching for a while. YouTube is designed to keep playing new videos automatically so you never want to stop.",Show them the auto-play feature and turn it off together,"That's how the app tricks your brain into watching more. Let's turn off auto-play so you can stop when the video ends.",Set the device to require choosing each new video manually,"Now your brain has a chance to decide if it wants more instead of just automatically continuing.",Empower them with knowledge about persuasive design,"DISTRACTED brains are especially vulnerable to infinite scroll and auto-play features designed to eliminate stopping cues. Teaching them about persuasive technology builds metacognitive awareness. Disabling auto-play creates natural stopping points, giving their weak inhibitory control a chance to engage."
Screens - Family Meal Screen Use,DISTRACTED,Screens,"Put your phone away at the table!","I notice the phone is very interesting to your brain. At meals we focus on our food and each other.",Create a device basket or charging station visible to everyone,"Everyone's phones go here during meals. That way all our brains can pay attention to being together.",Model the behavior by putting your own device in the basket,"Now our brains can notice the food taste and hear each other's voices. What was the best part of your day?",Actively engage in conversation immediately,"DISTRACTED brains are easily pulled by notifications and visual stimuli. Screens at meals prevent mindful eating and social engagement. Family-wide device removal (not singling them out) reduces reactance. Immediate positive engagement gives their attention system something else to focus on."
Screens - Educational Content Argument,DISTRACTED,Screens,"It doesn't matter if it's educational! Turn it off!","I hear you saying this video is teaching you things. Some screen time can be learning, and you still need breaks.",Acknowledge the content value while maintaining the boundary,"Your brain learns best when it also has time away from screens to practice and think.",Begin transitioning them away from the device,"Let's go try something you learned about. Show me what you know.",Channel the content into real-world application,"Even educational screen time activates the same dopamine pathways. DISTRACTED brains need breaks for information consolidation—the hippocampus processes learning during downtime. Transitioning to real-world application reinforces learning while reducing screen dependence."
Screens - Parent Phone Modeling Issue,DISTRACTED,Screens,"Stop telling me what to do! I'm an adult!","You're right that you notice I look at my phone a lot. That's a good observation.",Model acknowledging their point without defensiveness,"I'm going to work on that too because screens are hard for everyone's brains. Let's both try screen-free time.",Place your phone away during dedicated family time,"During this time, both our brains will focus on being together instead of screens.",Follow through consistently to build trust,"DISTRACTED children are keenly attuned to hypocrisy and have a strong sense of fairness. Defensive reactions model poor emotional regulation. Acknowledging their valid observation and making it a collaborative family effort reduces reactance and models accountability, strengthening both the rule and the relationship."
Screens - Multiplayer Game Social Pressure,DISTRACTED,Screens,"I don't care if your friends are playing! Get off!","I understand your friends are online and you don't want to miss out. Your brain feels pulled to stay connected.",Acknowledge the social aspect specifically,"We're going to set a time limit ahead of time. You can tell your friends 'I have to log off at 7:30.'",Help them communicate boundaries to peers,"That way your friends know when you're leaving and your brain can prepare too.",Give them language to maintain social connection while honoring limits,"DISTRACTED children often have social challenges and online gaming may be their primary peer connection. Arbitrary cutoffs damage their social standing. Pre-set limits they can communicate to peers allows their brain to prepare (weak time perception needs support) and maintains their social relationships."
Tantrums - Toddler Prediction Error,INTENSE,Tantrums,"Stop crying! It's just a banana!","You were expecting something to be one way and it's different. That feels really big in your body right now.",Get down to their eye level and use a calm voice,"I see how upset you are. Your feelings are so big. I'm right here with you.",Place a gentle hand on their back or offer a hug if wanted,"This feeling will pass. We'll wait together. You're safe.",Stay present in calm silence until the intensity decreases,"INTENSE children have heightened emotional reactivity due to amygdala hyperactivation and altered amygdala-prefrontal connectivity. Unexpected events trigger strong stress responses. Co-regulation through calm presence allows their nervous system to sync with yours and return to baseline."
Tantrums - Sensory Overwhelm Meltdown,INTENSE,Tantrums,"You need to calm down right now!","I think your senses are getting too much information right now. Let's get you somewhere quiet.",Immediately remove them from the overwhelming environment,"Your nervous system needs a break. Let's find a calm space.",Lead them to a quiet, dim area,"I'm going to sit with you while your body calms down. You don't have to talk.",Provide silent, supportive presence with deep pressure if they want it,"INTENSE children have sensory processing sensitivity—their nervous systems process stimuli more deeply. Overstimulation pushes them outside their window of tolerance into dorsal vagal shutdown or sympathetic fight/flight. Reducing sensory input is the only intervention that works during overwhelm."
Tantrums - Frustration Intolerance Rage,INTENSE,Tantrums,"If you don't stop crying I'm taking that toy away!","This is really frustrating and your body is showing big feelings. That's okay.",Don't try to fix the problem yet—just witness the emotion,"You're working so hard and it's not working the way you want. That feels terrible.",Validate the experience specifically,"When your body is ready, I can help if you want. Or we can take a break. You choose.",Offer options only after emotion decreases,"INTENSE children feel emotions more strongly due to their neurobiology. Threats during dysregulation further activate the amygdala. Validation reduces emotional intensity faster than any other intervention. Only after ventral vagal (calm) state returns can they access problem-solving."
Tantrums - Transition Difficulty Rage,INTENSE,Tantrums,"We're leaving now! Stop throwing a fit!","I know it's really hard to stop when you're having fun. Your brain doesn't like surprises.",Kneel down and connect emotionally first,"I should have given you more warning. Let's take a few breaths together.",Breathe slowly and wait for them to match your rhythm,"Now let's think together. What's one thing you want to do before we go?",Give them limited control within the necessary transition,"INTENSE children need more preparation time for transitions due to their highly active behavioral inhibition system. Abrupt changes feel threatening. Taking responsibility as the parent (co-regulator) models accountability, while offering limited choice restores their sense of agency and reduces amygdala activation."
Tantrums - Aggressive Hitting Parent,INTENSE,Tantrums,"We do not hit! Go to your room!","Your body is so upset it's trying to hit. I need to keep both of us safe.",Gently block or catch their hands without aggression,"You're having such big feelings and your body doesn't know what to do with them. Let's find a safe way.",Guide them to hit a pillow or stomp feet,"Your anger is okay. Hitting people is not okay. Hitting this pillow is okay.",Teach the distinction between feeling and action,"Hitting during tantrums in INTENSE children is a sympathetic nervous system fight response, not calculated aggression. Punishment escalates arousal. Stopping the behavior while validating the emotion and providing an acceptable alternative teaches their developing prefrontal cortex to channel impulses safely."
Tantrums - Shutdown/Withdrawal,INTENSE,Tantrums,"Answer me when I'm talking to you!","I notice you've gone very quiet. Your body might be shutting down because everything felt like too much.",Reduce your own intensity immediately—softer voice, more space,"You don't have to talk right now. I'm going to stay nearby where you can see me.",Sit at a comfortable distance without hovering,"When you're ready, you can come find me. I'll be right here.",Wait patiently for them to re-engage on their timeline,"Withdrawal in INTENSE children indicates dorsal vagal shutdown—their nervous system's freeze response to overwhelming threat or emotion. Demanding engagement further traumatizes. Respectful proximity without pressure allows them to emerge from the freeze state when they feel safe enough."
Tantrums - Public Meltdown Shame,INTENSE,Tantrums,"Everyone is looking at us! Stop it!","I know there are a lot of people around and that makes this harder. But you and I are the only ones that matter right now.",Shield them from onlookers with your body if possible,"Your feelings are more important than what anyone thinks. Let's focus on helping you feel better.",Use calm voice and minimal words,"I'm going to help you get somewhere calmer. Come with me.",Move to a quieter location (bathroom, outside, car),"INTENSE children's meltdowns are nervous system events, not behavior problems. Parental anxiety about judgment increases the child's stress (they sense it), worsening the meltdown. Prioritizing the child's regulation over social expectations models that their wellbeing matters most, strengthening secure attachment."
Tantrums - After-School Collapse,INTENSE,Tantrums,"Why are you acting like this? You were fine at school!","You held it together all day at school and now your body needs to let out all those feelings. This is actually a sign you feel safe with me.",Reframe the behavior as trust, not disrespect,"Your nervous system needs to discharge all that stress. Let's give it what it needs.",Offer water, a snack, dim lights, and quiet,"You don't have to do anything right now. Just rest and release.",Remove all demands for at least 30 minutes,"INTENSE children use enormous energy to regulate in public, depleting their prefrontal resources. The after-school meltdown is nervous system recovery, not misbehavior. It's actually a secure attachment indicator—they feel safe enough with you to fall apart. Supporting rather than punishing prevents shame."
Tantrums - Sibling Conflict Explosion,INTENSE,Tantrums,"Both of you stop fighting right now!","I see both of you are upset. Let's separate first so you can both calm down.",Physically separate them to reduce stimulation,"(To the INTENSE child) Your body is very activated right now. Let's help it calm.",Focus on co-regulation with the intense child first,"We'll talk about what happened after everyone is calm. Right now we just breathe.",Model slow breathing and stay near,"During conflict, INTENSE children's amygdala activates intensely and prefrontal cortex goes offline. Attempting conflict resolution during dysregulation is neurologically impossible. Separation reduces threat perception. Individual co-regulation must precede any problem-solving or consequence discussion."
Tantrums - Hunger/Fatigue Trigger,INTENSE,Tantrums,"You're just tired! Stop being difficult!","Your body is sending stress signals to your brain because you need food or rest. Let's take care of your body first.",Immediately offer a snack or path to rest,"When your body's basic needs aren't met, everything feels harder and emotions get bigger.",Provide sustenance without requiring good behavior first,"Once your body has what it needs, your emotions will be easier to manage. Let's get you comfortable.",Help them meet the physiological need urgently,"INTENSE children have narrow windows of tolerance that shrink further with hunger or fatigue. Physiological stress amplifies emotional sensitivity. Addressing the root cause (low blood sugar, sleep pressure) is required before any emotional regulation is possible. This is biology, not discipline."
Tantrums - Morning Meltdown Rush,INTENSE,Tantrums,"We don't have time for this! You need to get ready!","I see you're overwhelmed right now. Our rushing is making your nervous system feel stressed.",Stop and take three breaths yourself to model regulation,"Let's slow down for one minute. Sometimes going slower actually helps us get ready faster.",Speak more softly and move more slowly,"What's the hardest part right now? Let's do that first together.",Help them through the biggest obstacle with co-regulation,"Morning cortisol is naturally higher in children. Rushing further activates their stress response. INTENSE children sense parental stress and it dysregulates them further. Paradoxically, pausing to co-regulate saves time because trying to force a dysregulated child forward is impossible—their prefrontal cortex is offline."
Tantrums - Bedtime Emotional Meltdown,INTENSE,Tantrums,"You need to stop crying and go to sleep!","Bedtime brings up big feelings for lots of kids. Your body might be tired but your mind is still active.",Sit on the edge of their bed at eye level,"Sometimes when our bodies get very tired, everything feels more intense. It's not your fault.",Validate without trying to stop the emotion,"I'm going to stay right here while these feelings move through you. You're not alone.",Provide consistent presence without demands,"Sleep pressure intensifies emotions in INTENSE children—fatigue narrows their window of tolerance while their amygdala becomes more reactive. Separation anxiety often peaks at bedtime. Trying to force sleep is counterproductive. Calm presence allows their parasympathetic nervous system to engage, enabling sleep."
